exp	dist_thr	count_thr	contacts_tot	contacts_preprocessed	contacts_filtered	alpha
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0	82153546	179592892	37001	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.05	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.25	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0	82153546	124606496	5530956	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0	82153546	124606496	18098	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.05	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.25	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0	82153546	179784760	6870289	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0	82153546	179784760	40014	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.05	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.25	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0	82153546	145968189	6547290	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0	82153546	145968189	9891	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.05	82153546	0	0	0.05
