exp1	exp2	replicate_type	size1	size2	jaccard_index	alpha	dist_thr	quant_thr
GM_set1_bio1	GM_set1_bio3	bio	5698118	4199863	0.12089507346531186	optimal	25000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	14641	6008	0.09369703389830508	0.05	25000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	6046662	5190076	0.12559676952104976	optimal	25000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	10948	4487	0.09553552416779047	0.05	25000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2812138	1945779	0.09506317667304429	optimal	25000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	606	318	0.19844357976653695	0.05	25000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2655764	1797736	0.09069642197204085	optimal	25000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	55	53	0.7704918032786885	0.05	25000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	20549949	14812962	0.7977922224230902	optimal	5000000	0
GM_set1_bio1	GM_set1_bio3	bio	23515	8758	0.40672129718420363	0.05	5000000	0
GM_set1_bio1	GM_set1_bio3	bio	4434061	3382971	0.10120275303787449	optimal	5000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	7017	2796	0.08478885695334955	0.05	5000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	5139659	4054912	0.11379642049466497	optimal	5000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	4424	1838	0.08790826963168867	0.05	5000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	4632659	2531938	0.10095672604842638	optimal	5000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	3904	842	0.055135615829257446	0.05	5000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2577429	1753689	0.090255106702885	optimal	5000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	17	20	0.6086956521739131	0.05	5000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	23375300	19524295	0.9226972066172782	optimal	50000000	0
GM_set1_bio1	GM_set1_bio3	bio	53372	22166	0.35942842745563836	0.05	50000000	0
GM_set1_bio1	GM_set1_bio3	bio	6009441	4734165	0.12636439350224107	optimal	50000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	18580	7692	0.09134715241141528	0.05	50000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	6440003	7104589	0.1314581831951554	optimal	50000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	14615	6090	0.0943446088794926	0.05	50000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2740556	1833024	0.09215673960081278	optimal	50000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	171	114	0.2895927601809955	0.05	50000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2694305	1799801	0.0907775405124252	optimal	50000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	56	56	0.7230769230769231	0.05	50000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	20457384	15326792	0.8147368852383362	optimal	10000000	0
GM_set1_bio1	GM_set1_bio3	bio	12932	4486	0.42946245383668447	0.05	10000000	0
GM_set1_bio1	GM_set1_bio3	bio	4720747	3821589	0.10678199273558746	optimal	10000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	3973	1477	0.09437751004016064	0.05	10000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	4978952	4262611	0.11619577371532981	optimal	10000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2991	1141	0.0960212201591512	0.05	10000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	4099782	2100046	0.09455640811703181	optimal	10000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	1719	263	0.05594033031433138	0.05	10000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2373848	1760094	0.08603321721494513	optimal	10000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	12	11	0.6428571428571429	0.05	10000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	22321786	19806997	0.9066451421799607	optimal	100000000	0
GM_set1_bio1	GM_set1_bio3	bio	32273	12640	0.3742006547746535	0.05	100000000	0
GM_set1_bio1	GM_set1_bio3	bio	5890205	5963825	0.12718201975216512	optimal	100000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	11157	4385	0.09496970550937016	0.05	100000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	5855112	5944183	0.13019471640714536	optimal	100000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	9325	3555	0.09402870975961947	0.05	100000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2463949	1811403	0.08825325424568368	optimal	100000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	100	64	0.37815126050420167	0.05	100000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2401456	1772330	0.08664724799113559	optimal	100000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	46	43	0.8163265306122449	0.05	100000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	20624290	16833574	0.8559638402349132	optimal	25000000	0
GM_set1_bio1	GM_set1_bio3	bio	19816	7730	0.4470476990964488	0.05	25000000	0
GM_set1_bio1	GM_set1_bio3	bio	5373810	4220611	0.11790789118155721	optimal	25000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	6809	2624	0.09980179549959194	0.05	25000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	5373058	5140206	0.12434327617254198	optimal	25000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	5414	2109	0.10146412884333822	0.05	25000000	0.05
