	distance_thr	counts_thr	time (s)	file	res	cell	set
153	5000000.0	0.1	3059.1781799793243	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
154	5000000.0	0.25	2348.2331128120422	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
155	10000000.0	0.0	2473.8638231754303	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
156	10000000.0	0.01	2089.9776175022125	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
157	10000000.0	0.05	1803.3594102859497	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
158	10000000.0	0.1	1480.3311495780945	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
159	10000000.0	0.25	1095.9179389476776	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
160	25000000.0	0.0	1594.5164313316343	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
161	25000000.0	0.01	1325.2836372852323	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
162	25000000.0	0.05	1214.4139685630798	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
163	25000000.0	0.1	1170.7586643695831	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
164	25000000.0	0.25	739.3346927165985	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
165	50000000.0	0.0	1280.1191675662994	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
166	50000000.0	0.01	1226.7566492557526	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
167	50000000.0	0.05	1172.7656750679016	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
168	50000000.0	0.1	846.0963468551636	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
169	50000000.0	0.25	787.5714573860168	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
170	100000000.0	0.0	1361.7597987651825	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
171	100000000.0	0.01	1434.961760044098	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
172	100000000.0	0.05	1343.000651359558	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
173	100000000.0	0.1	885.7509713172913	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
174	100000000.0	0.25	862.0226926803589	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
175	5000000.0	0.0	1052.8413262367249	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
176	5000000.0	0.01	921.0491142272948	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
177	5000000.0	0.05	610.8205308914185	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
178	5000000.0	0.1	612.0180599689484	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
179	5000000.0	0.25	683.4195854663849	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
180	10000000.0	0.0	995.9405312538148	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
181	10000000.0	0.01	863.2653884887695	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
182	10000000.0	0.05	666.4722375869751	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
183	10000000.0	0.1	689.3243751525879	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
184	10000000.0	0.25	851.5378227233887	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
185	25000000.0	0.0	1057.7067017555237	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
186	25000000.0	0.01	1010.9298486709596	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
187	25000000.0	0.05	820.9366493225098	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
188	25000000.0	0.1	720.3862113952637	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
189	25000000.0	0.25	578.9300665855408	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
190	50000000.0	0.0	862.2651877403259	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
191	50000000.0	0.01	777.2787146568298	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
192	50000000.0	0.05	528.3478915691376	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
193	50000000.0	0.1	440.4081027507782	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
194	50000000.0	0.25	412.595379114151	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
195	100000000.0	0.0	675.9414639472961	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
