Dataset	Cell line	Method	Interaction type	Jaccard Index
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.033
Rao	GM12878	Fit-Hi-C	cis	0.007
Rao	GM12878	Fit-Hi-C	cis	0.022
Rao	GM12878	Fit-Hi-C	cis	0.018
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.002
Rao	GM12878	Fit-Hi-C	cis	0.014
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.038
Rao	GM12878	Fit-Hi-C	cis	0.008
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.015
Rao	GM12878	Fit-Hi-C	cis	0.017
Rao	GM12878	Fit-Hi-C	cis	0.001
Rao	GM12878	Fit-Hi-C	cis	0.008
Rao	GM12878	Fit-Hi-C	cis	0.004
Rao	GM12878	Fit-Hi-C	cis	0.012
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.001
Rao	GM12878	Fit-Hi-C	cis	0.007
Rao	GM12878	Fit-Hi-C	cis	0.007
Rao	GM12878	Fit-Hi-C	cis	0.004
Rao	GM12878	Fit-Hi-C	cis	0.005
Rao	GM12878	Fit-Hi-C	cis	0.007
Rao	GM12878	Fit-Hi-C	cis	0.016
Rao	GM12878	Fit-Hi-C	cis	0.013
Rao	GM12878	Fit-Hi-C	cis	0.018
Rao	GM12878	Fit-Hi-C	cis	0.016
Rao	GM12878	Fit-Hi-C	cis	0.013
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.006
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.010
Rao	GM12878	Fit-Hi-C	cis	0.009
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.013
Rao	GM12878	Fit-Hi-C	cis	0.009
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.005
Rao	GM12878	Fit-Hi-C	cis	0.004
Rao	GM12878	Fit-Hi-C	cis	0.006
Rao	GM12878	Fit-Hi-C	cis	0.010
Rao	GM12878	Fit-Hi-C	cis	0.002
Rao	GM12878	Fit-Hi-C	cis	0.001
Rao	GM12878	Fit-Hi-C	cis	0.008
Rao	GM12878	Fit-Hi-C	cis	0.007
Rao	GM12878	Fit-Hi-C	cis	0.012
Rao	GM12878	Fit-Hi-C	cis	0.011
Rao	GM12878	Fit-Hi-C	cis	0.016
Rao	GM12878	Fit-Hi-C	cis	0.004
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.002
Rao	GM12878	Fit-Hi-C	cis	0.002
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.013
Rao	IMR90	Fit-Hi-C	cis	0.004
Rao	IMR90	Fit-Hi-C	cis	0.000
Rao	IMR90	Fit-Hi-C	cis	0.001
Rao	IMR90	Fit-Hi-C	cis	0.006
Rao	IMR90	Fit-Hi-C	cis	0.032
Rao	IMR90	Fit-Hi-C	cis	0.000
Rao	IMR90	Fit-Hi-C	cis	0.012
Rao	IMR90	Fit-Hi-C	cis	0.033
Rao	IMR90	Fit-Hi-C	cis	0.001
Rao	IMR90	Fit-Hi-C	cis	0.044
Rao	IMR90	Fit-Hi-C	cis	0.002
Rao	IMR90	Fit-Hi-C	cis	0.015
Rao	IMR90	Fit-Hi-C	cis	0.000
Rao	IMR90	Fit-Hi-C	cis	0.020
Rao	IMR90	Fit-Hi-C	cis	0.020
Rao	IMR90	Fit-Hi-C	cis	0.006
